date,GRIMM,PANACEA_048,PANACEA_049
2022-07-09 00:00:00 UTC,23.675,32.89,32.995
2022-07-09 01:00:00 UTC,21.28666667,27.18,26.8
2022-07-09 02:00:00 UTC,7.998333333,8.795,8.725
2022-07-09 03:00:00 UTC,5.935,5.835,5.705
2022-07-09 04:00:00 UTC,8.26,8.05,7.815
2022-07-09 05:00:00 UTC,8.701666667,7.875,7.55
2022-07-09 06:00:00 UTC,8.08,6.875,6.675
2022-07-09 07:00:00 UTC,7.985,6.7,6.34
2022-07-09 08:00:00 UTC,7.093333333,5.095,4.665
2022-07-09 09:00:00 UTC,6.715,5.215,4.61
2022-07-09 10:00:00 UTC,5.84,4.235,4.025
2022-07-09 11:00:00 UTC,5.461666667,3.95,3.52
2022-07-09 12:00:00 UTC,3.385,2.12,1.78
2022-07-09 13:00:00 UTC,3.553333333,2.57,2.14
2022-07-09 14:00:00 UTC,2.811666667,1.61,1.345
2022-07-09 15:00:00 UTC,2.516666667,1.29,1.005
2022-07-09 16:00:00 UTC,4.62,4.22,3.28
2022-07-09 17:00:00 UTC,10.35166667,14.005,13.03
2022-07-09 18:00:00 UTC,10.365,13.66,13.2
2022-07-09 19:00:00 UTC,12.26833333,16.455,15.59
2022-07-09 20:00:00 UTC,7.765,10.075,9.885
2022-07-09 21:00:00 UTC,7.986666667,9.73,9.53
2022-07-09 22:00:00 UTC,6.648333333,7.77,7.365
2022-07-09 23:00:00 UTC,5.401666667,6.02,5.845
2022-07-10 00:00:00 UTC,5.715,6.385,6.24
2022-07-10 01:00:00 UTC,7.241666667,8.155,7.85
2022-07-10 02:00:00 UTC,6.755,7.365,7.265
2022-07-10 03:00:00 UTC,8.083333333,9.29,8.905
2022-07-10 04:00:00 UTC,7.833333333,8.58,8.15
2022-07-10 05:00:00 UTC,7.343333333,7.58,6.99
2022-07-10 06:00:00 UTC,8.146666667,8.205,7.77
2022-07-10 07:00:00 UTC,9.676666667,9.875,9.125
2022-07-10 08:00:00 UTC,10.745,11.105,10.375
2022-07-10 09:00:00 UTC,11.98,12.13,11.54
2022-07-10 10:00:00 UTC,12.48166667,13.285,12.495
2022-07-10 11:00:00 UTC,12.87,13.865,12.955
2022-07-10 12:00:00 UTC,13.81833333,14.855,14.56
2022-07-10 13:00:00 UTC,14.32333333,15.305,15.045
2022-07-10 14:00:00 UTC,14.22833333,14.985,14.81
2022-07-10 15:00:00 UTC,13.88666667,14.325,14.425
2022-07-10 16:00:00 UTC,14.66,15.985,16.025
2022-07-10 17:00:00 UTC,15.25666667,17.755,17.68
2022-07-10 18:00:00 UTC,16.66833333,21.775,21.365
2022-07-10 19:00:00 UTC,15.07166667,18.755,18.755
2022-07-10 20:00:00 UTC,15.125,19.265,19.17
2022-07-10 21:00:00 UTC,13.84333333,16.83,16.755
2022-07-10 22:00:00 UTC,15.20833333,18.65,18.845
2022-07-10 23:00:00 UTC,16.11166667,20.08,20.525
2022-07-11 00:00:00 UTC,16.72333333,20.765,21.125
2022-07-11 01:00:00 UTC,17.54166667,21.755,22.31
2022-07-11 02:00:00 UTC,16.82333333,20.54,20.52
2022-07-11 03:00:00 UTC,17.44833333,20.825,21.005
2022-07-11 04:00:00 UTC,16.675,19.07,19.16
2022-07-11 05:00:00 UTC,13.64,13.96,13.6
2022-07-11 06:00:00 UTC,15.14,14.43,14.39
2022-07-11 07:00:00 UTC,13.30333333,12.72,12.34
2022-07-11 08:00:00 UTC,13.43,12.49,11.475
2022-07-11 09:00:00 UTC,12.60666667,11.68,11.055
2022-07-11 10:00:00 UTC,11.59833333,10.8,10.245
2022-07-11 11:00:00 UTC,10.875,10.47,10.13
2022-07-11 12:00:00 UTC,9.843333333,9.79,9.57
2022-07-11 13:00:00 UTC,9.93,9.98,10.005
2022-07-11 14:00:00 UTC,10.97166667,11.565,11.45
2022-07-11 15:00:00 UTC,11.54833333,14.035,13.31
2022-07-11 16:00:00 UTC,10.595,13.415,12.55
2022-07-11 17:00:00 UTC,11.02833333,14.35,13.92
2022-07-11 18:00:00 UTC,12.425,17.725,17.735
2022-07-11 19:00:00 UTC,10.27166667,13.6,13.54
2022-07-11 20:00:00 UTC,10.85833333,14.855,15.145
